点赞,特色,耗时,实体类型,经度,课程时长,价格,门票价格,entity_name,名称,产地,来源详情,赞同,文化项目,游玩建议,数据质量,来源数量,天数,交通,适合年龄,收费,贴士,行政区,房型,内容摘要,内容,所属店铺,预约方式,主题,线路名,保护级别,来源平台,时间,分类,地址,标签,适宜季节,entity_id,热度分数,关联内容数,景点,简介,来源,内容分类,开放时间,数据来源,推荐路线,纬度,标题,评论数,信任等级,摘要,推荐游览顺序,来源URL,来源列表,门票数值,评分,最佳季节,图片URL,游玩时长(分钟)
,,,展馆,,,,按演出定价,,绍兴大剧院,,,,,,0.5,3,,公交1/2路,,,,越城区,,,,,,,,,,,文博场馆,绍兴市越城区解放北路,剧院|文化|演出|越剧,四季皆宜,展馆0123,0,2,,绍兴大剧院是绍兴最大的演出场所，定期上演越剧、话剧、音乐会等。建筑外观现代，是绍兴文化地标之一。,,,按演出时间,,,,,1800.0,3,,,,comprehensive,,4.0,,,
,,,展馆,,,,免费,,绍兴越国文化博物馆,,,,,,0.5,3,,步行从鲁迅故里可达,,,,越城区,,,,,,,,,,,文博场馆,绍兴市越城区鲁迅中路,免费|博物馆|考古|越国文化,四季皆宜,展馆0124,0,2,,越国为春秋五霸之一，都城在绍兴。博物馆集中展示越国考古成果。 馆藏越王勾践剑复制品和大量越国文物。,,,09:00-16:30,,,,,600.0,3,,,,comprehensive,,3.9,,,
,,,展馆,,,,免费,,绍兴市图书馆,,,,,,0.5,3,,公交1/2路,,,,越城区,,,,,,,,,,,文博场馆,绍兴市越城区延安路,免费|图书馆|学习|文化,四季皆宜,展馆0125,0,2,,绍兴市图书馆是绍兴最大的公共图书馆。有古籍阅览室和绍兴地方文献专区，是研究绍兴文化的好去处。,,,09:00-20:30(周一闭馆),,,,,900.0,3,,,,comprehensive,,4.0,,,
,,,美食店铺,,,,,,咸亨酒店,,,,,,0.5,3,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路179号,,,美食0126,0,0,,创建于清光绪二十年（1894年），因鲁迅小说《孔乙己》闻名天下。店内有'孔乙己欠十九文钱'的趣味招牌，是来绍兴必打卡的文化餐厅。,,,,,,,,0,2,,,,dianping_static|comprehensive,,0,,,
,,,美食店铺,,,,,,寻宝记绍兴菜,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区仓桥直街114号,,,美食0127,0,0,,位于仓桥直街核心位置，以新派绍兴菜见长。装修古色古香，将传统绍兴菜与现代口味结合，常年排队。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,状元楼,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区胜利西路,,,美食0128,0,0,,绍兴老牌酒楼，以传统绍兴菜见长。清汤越鸡选用本地越鸡，汤清味醇，是绍兴十大名菜之一。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,孔乙己酒家,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路273号,,,美食0129,0,0,,鲁迅主题绍兴菜馆，店内随处可见《孔乙己》元素。'多乎哉？不多也'的茴香豆是每桌必点。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,绍兴饭店,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区环山路8号,,,美食0130,0,0,,绍兴最老牌的高端酒店，位于府山脚下，园林式建筑。接待过众多中外政要，是体验正宗绍兴官府菜的首选。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,同心楼,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区解放北路430号,,,美食0131,0,0,,绍兴百年老店，以面点小吃闻名。生煎包底脆肉鲜，是绍兴人从小吃到大的味道。每天清晨排长队。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,仓桥阿丘面馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区仓桥直街,,,美食0132,0,0,,仓桥直街巷子里的地道面馆。次坞打面是诸暨特色，手工打制，面条劲道有嚼劲。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,荣禄春,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区解放北路,,,美食0133,0,0,,始于清同治年间，以绍兴小笼包闻名。皮薄馅大，汤汁鲜美，是本地人的心头好。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,嵊州小吃（鲁迅故里店）,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路鲁迅故里景区附近,,,美食0134,0,1,,嵊州是浙江小吃之乡。豆腐包用嫩豆腐做馅，一咬爆汁。炒年糕不是炒的而是带汤的，是嵊州独有吃法。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,王老汉臭豆腐,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路,,,美食0135,0,2,,绍兴臭豆腐的代表摊位，外酥里嫩，配上甜酱和辣酱，是逛鲁迅故里时必吃的街头美食。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,高老太奶油小攀,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区新建南路,,,美食0136,0,1,,奶油小攀是绍兴独有的传统甜品，类似蛋挞但口感更绵密。高老太是公认最正宗的，开了三十多年。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,黄酒博物馆文创店,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区下大路557号,,,美食0137,0,1,,中国黄酒博物馆附设商店，可品酒购酒。从三年陈到三十年陈应有尽有，还有黄酒棒冰、黄酒奶茶等文创产品。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,绘璟轩·黄酒奶茶,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区仓桥直街,,,美食0138,0,1,,绍兴黄酒新喝法的代表店铺。黄酒+奶茶的跨界组合意外好喝，酒香与奶香融合，是年轻人的打卡圣地。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,柒舍小院,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区西小路,,,美食0139,0,0,,隐藏在巷弄里的文艺私房菜馆，小院环境雅致。需提前预约，菜品精致有创意。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,绍东家,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区世茂广场,,,美食0140,0,1,,绍兴本地连锁品牌，菜品标准化，环境干净现代。适合不习惯苍蝇馆子的游客，味道正宗。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,安昌古镇仁昌酱园,,,,,,0.5,2,,,,,,,,,,,,,,,,,美食店铺,柯桥区安昌古镇内,,,美食0141,0,2,,清光绪十八年(1892年)创建，至今用传统工艺晒制酱油。园区免费参观可购买手工酱油和酱货。母子酱油是绍兴独有的以酱油代水酿造的极品酱油。,,,,,,,,0,3,,,,dianping_static|comprehensive,,0,,,
,,,美食店铺,,,,,,安昌古镇陈记扯白糖,,,,,,0.5,2,,,,,,,,,,,,,,,,,美食店铺,柯桥区安昌古镇老街,,,美食0142,0,2,,绍兴非遗技艺。师傅现场拉制，滚烫糖浆反复拉扯至银白色，切成小块。观看制作过程就是一场表演。,,,,,,,,0,3,,,,dianping_static|comprehensive,,0,,,
,,,美食店铺,,,,,,柯桥越乡小吃街,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,柯桥区万达广场附近,,,美食0143,0,0,,柯桥区小吃集中地，各类绍兴特色小吃一应俱全，适合一站式品尝。,,,,,,,,0,2,,,,dianping_static,,0,,,
,,,美食店铺,,,,,,兰亭记,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,柯桥区兰亭景区附近,,,美食0144,0,2,,兰亭景区旁的书法主题餐厅，每道菜都与书法文化相关。书法豆腐上用墨鱼汁写着'兰亭'二字。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,诸暨次坞打面馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区人民中路,,,美食0145,0,1,,次坞打面是非遗技艺，用竹杠反复打压面团使其劲道。入口弹牙、汤头鲜美，是诸暨第一面。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,新昌炒年糕店,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,新昌县城,,,美食0146,0,2,,新昌炒年糕带汤，用冬笋、雪菜、肉丝同炒后加水煮，年糕软糯汤汁鲜美。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,老台门臭豆腐,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区书圣故里,,,美食0147,0,0,,书圣故里附近的老牌臭豆腐摊，据说有30多年历史。臭豆腐外酥里嫩酱料是秘制的。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,古越龙山体验馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区北海街道,,,美食0148,0,1,,绍兴黄酒龙头企业古越龙山的体验馆。可参观酿酒过程，品尝不同年份黄酒，定制专属花雕酒坛。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,安昌古镇宝麟酒家,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,柯桥区安昌古镇老街,,,美食0149,0,0,,安昌古镇老街上的人气餐馆，以安昌腊味和本地绍兴菜为主。腊肠蒸饭是招牌。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,仓桥直街夜市小吃,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区仓桥直街,,,美食0150,0,0,,仓桥直街夜市汇聚绍兴各类小吃，晚上红灯笼亮起氛围绝佳。适合晚饭后边逛边吃。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,鲁迅故里小吃街,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路,,,美食0151,0,1,,鲁迅故里景区周边小吃街，汇聚绍兴经典小吃。游客最集中的美食区域。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,东湖乌篷船码头茶馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区东湖风景区内,,,美食0152,0,0,,东湖景区内的茶馆，可一边品茶一边欣赏东湖山水。桂花糕是季节限定。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,沈园茶馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区沈园景区内,,,美食0153,0,0,,沈园内的茶馆，坐在宋代园林中品茶别有意境。可听到不远处越剧堂会的袅袅唱腔。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,大禹陵农家乐,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区大禹陵景区附近,,,美食0154,0,0,,大禹陵周边的农家乐，以本地土鸡和鉴湖河鲜为主。土鸡煲是每桌必点。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,兰亭农家菜馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,柯桥区兰亭景区附近,,,美食0155,0,0,,兰亭景区附近的农家菜，春季笋干最鲜美。环境简朴但食材新鲜地道。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,新昌农家乐,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,新昌县穿岩十九峰附近,,,美食0156,0,0,,穿岩十九峰周边的农家乐。新昌炒年糕是必吃的，配上一碗土鸡汤完美补给登山消耗。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,上虞农家乐,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,上虞区覆卮山附近,,,美食0157,0,0,,覆卮山周边农家乐。油菜花季时坐在梯田边吃饭景色绝佳。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·梅干菜,,,,,,0.5,2,,,,,,,,,,,,,,,,,美食店铺,各土特产店有售,,,美食0158,0,0,,绍兴梅干菜色泽乌黑、香气浓郁。以芥菜腌制晒干而成，是做梅干菜扣肉的必备食材。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·安昌腊肠,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,柯桥区安昌古镇,,,美食0159,0,2,,安昌腊肠选用猪后腿肉灌制，用酱油、黄酒、白糖腌制后风干。蒸熟切片即可食用，香气扑鼻。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·酱鸭,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,各土特产店有售,,,美食0160,0,1,,绍兴酱鸭用母子酱油腌制后风干，肉质紧实酱香浓郁。是过年必备的年货。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·花雕酒,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,各酒庄有售,,,美食0161,0,1,,花雕酒是绍兴黄酒中的精品，酒坛上有精美彩绘。陈年花雕酒色如琥珀，温润醇厚。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·霉苋菜梗,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,各菜市场有售,,,美食0162,0,1,,绍兴三臭之一。苋菜梗发酵后产生特殊风味，爱的人爱死、怕的人怕死。配豆腐同蒸为'蒸双臭'。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·霉千张,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,各菜市场有售,,,美食0163,0,1,,绍兴三臭之二。千张（豆腐皮）发酵后产生浓郁风味。蒸后口感绵软，是绍兴人最爱的下饭菜。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·臭豆腐,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,街头随处可见,,,美食0164,0,0,,绍兴三臭之三。苋菜梗卤水浸泡豆腐后油炸至金黄。外酥里嫩，蘸甜酱和辣酱吃。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·母子酱油,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,柯桥区安昌仁昌酱园,,,美食0165,0,1,,绍兴独有酱油。以酱油代水酿造而成（'母'酱油酿'子'酱油），色泽深褐味道醇厚。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·糟鸡,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,各卤味店有售,,,美食0166,0,1,,绍兴糟货代表。鸡肉用酒糟腌制后肉质紧实、酒香浓郁。是绍兴人过年必备冷盘。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·醉蟹,,,,,,0.5,2,,,,,,,,,,,,,,,,,美食店铺,各餐厅有售,,,美食0167,0,1,,用花雕酒和酱油腌制大闸蟹。蟹黄与酒香融合，是绍兴秋冬季节的极品美味。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·香糕,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,各糕点店有售,,,美食0168,0,2,,绍兴传统糕点，以米粉、白糖、桂花为原料烘烤制成。酥脆香甜，是伴手礼佳选。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产·嵊州榨面,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,嵊州各特产店,,,美食0169,0,1,,嵊州传统米面，细如发丝。炒或煮汤皆可，口感爽滑。是嵊州家家户户必备的主食。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴土菜馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路,,,美食0170,0,0,,以绍兴三臭闻名的本地菜馆。霉苋菜梗蒸豆腐是招牌。体验地道绍兴味的好去处。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,府山脚下土菜馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区府山公园附近,,,美食0171,0,0,,府山公园旁的本地土菜馆，游客少本地人多。越鸡是绍兴本地鸡种，清汤炖制肉质鲜嫩。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,丁大兴糕点,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区解放南路,,,美食0172,0,1,,绍兴老字号糕点店，桂花糕和香糕最受欢迎。伴手礼首选。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,古越龙山酒楼,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区北海街道,,,美食0173,0,1,,古越龙山旗下的黄酒主题餐厅。每道菜都以黄酒入菜，酒香与菜香完美融合。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,银泰城美食广场,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区解放南路银泰城,,,美食0174,0,0,,绍兴市中心最大的购物中心美食广场，汇集绍兴小吃和全国连锁餐饮品牌。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,世茂美食街,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区世茂广场,,,美食0175,0,0,,绍兴世茂商圈的美食聚集区，从本地绍兴菜到日韩料理应有尽有。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,阿二面馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区人民中路,,,美食0176,0,0,,绍兴本地人爱吃的老面馆。片儿川雪菜笋片肉丝浇头鲜美。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,老绍兴早点铺,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区解放北路,,,美食0177,0,0,,绍兴传统早餐铺。咸豆浆配油条是正宗绍兴吃法。粢饭团裹油条和榨菜是绍兴人从小吃到大的早餐。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,诸暨蒸菜馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,诸暨市市区,,,美食0178,0,1,,诸暨特色蒸菜馆。西施豆腐是诸暨名菜，嫩豆腐配虾仁火腿蒸制鲜香滑嫩。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,新昌特色小吃店,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,新昌县人民中路,,,美食0179,0,0,,新昌特色小吃。春饼薄如纸包着豆芽肉丝炸至金黄。米海茶是新昌传统饮品。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,上虞农家大院,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,上虞区市区,,,美食0180,0,0,,上虞区知名农家菜馆。土鸡煲用本地散养土鸡慢炖数小时，汤浓味鲜。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,嵊州越乡小吃城,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,嵊州市市区,,,美食0181,0,0,,嵊州小吃一站式体验。小笼包皮薄馅大豆腐包一咬爆汁。炒年糕带汤是嵊州独有吃法。,,,,,,,,0,2,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,安昌古镇·腊味铺,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,柯桥区安昌古镇老街(多家),,,美食0182,0,1,,安昌古镇沿街数家腊味铺。腊月时节整条街挂满腊肠酱鸭，是最地道的绍兴年味。可现场品尝后购买。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴书画社,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路,,,美食0183,0,1,,鲁迅故里附近的文房四宝店。兰亭序复制品从几十到几百元不等。买一幅回家挂在书房，绍兴之旅的精神延续。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,嵊州竹编工艺馆,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,嵊州市市区,,,美食0184,0,2,,嵊州竹编国家级非遗。工艺精美可编织出人物动物花鸟立体造型。从小挂件到大型摆件应有尽有。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,越窑青瓷工作室,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,上虞区曹娥街道,,,美食0185,0,2,,越窑青瓷国家级非遗。以类玉似冰的釉色著称。工作室可参观制作过程并购买手作青瓷。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴特产总汇,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区鲁迅中路(多家),,,美食0186,0,1,,鲁迅故里周边的特产店。一站购齐绍兴特产：梅干菜、香糕、黄酒、茴香豆。价格比景区内便宜。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,会稽山·香榧专卖,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区稽东镇,,,美食0187,0,1,,绍兴会稽山区是香榧原产地。千年香榧林在稽东镇。香榧酥脆香甜，是坚果中的爱马仕。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,书圣故里·扇子铺,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区书圣故里,,,美食0188,0,1,,书圣故里街上的手工扇铺。王羲之题扇桥典故源于此。可请师傅现场在扇面上题字作画。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴花雕酒坊,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区东浦黄酒小镇,,,美食0189,0,1,,东浦黄酒小镇的酒坊。可观看古法酿酒，手工绘制花雕酒坛。女儿红状元红承载着绍兴千年的酒文化。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴铜雕工作室,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区府山直街,,,美食0190,0,2,,绍兴铜雕省级非遗。以精细线刻著称。铜制书签是很有质感的伴手礼。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,嵊州越乡特产店,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,嵊州市市区,,,美食0191,0,1,,嵊州特产一站式购买。榨面是嵊州特有米面细如发丝。速冻小笼包可以带回家自己蒸。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,美食店铺,,,,,,绍兴非遗馆·文创店,,,,,,0.5,1,,,,,,,,,,,,,,,,,美食店铺,越城区人民西路非遗馆内,,,美食0192,0,1,,绍兴非遗馆配套文创店。将非遗元素做成年轻人喜爱的文创产品。乌篷船模型是最受欢迎的纪念品。,,,,,,,,0,3,,,,comprehensive,,0,,,
,,,,,,,,书圣故里,,,,,,,,,,,,,,,,鲁迅故里（文学）、书圣故里（书法）、青藤书屋（绘画）、蔡元培故居（教育）、秋瑾故居（革命）。,,,,绍兴名人故里研学游,,,,全年,,,,,景点0011,,,鲁迅故里/书圣故里/青藤书屋,,,,,comprehensive,,,,,3,,,comprehensive:event:study_tour,,,,,,
,,,,,,,,书圣故里,,,,,,,,,,,,,,,,安昌扯白糖（观看制作）、黄酒博物馆（酿造体验）、书圣故里（书法体验）、嵊州竹编（手工艺体验）。,,,,绍兴非遗体验之旅,,,,全年,,,,,景点0011,,,安昌古镇/黄酒博物馆/书圣故里,,,,,comprehensive,,,,,3,,,comprehensive:event:ich_experience,,,,,,
,深度体验绍兴人文历史，景点集中在越城区步行可达,,,,,,,沈园,,,,,,,,,1天,,,,,,,,,,,,绍兴古城文化一日游,,,,,,,,景点0002,,,鲁迅故里→沈园→书圣故里→仓桥直街,,,,,comprehensive,,,,,4,,,comprehensive:route:culture1day,,,,,,
,追寻王羲之、徐渭书法足迹，书法爱好者必走线路,,,,,,,兰亭景区,,,,,,,,,1天,,,,,,,,,,,,绍兴书法朝圣之旅,,,,,,,,景点0004,,,兰亭景区→书圣故里→青藤书屋→绍兴博物馆,,,,,comprehensive,,,,,4,,,comprehensive:route:calligraphy,,,,,,
9100,,,,,,,,,,,{'xiaohongshu': 1},,,,,1,,,,,,,,,同心楼生煎包刚出锅的最好吃！寻宝记排队1小时起步建议工作日去。高老太奶油小攀下午3点后基本卖完。黄酒棒冰5元一根随处可买。,,,,,,xiaohongshu_static,,,,美食推荐,,,,,,,,food_shop,,xiaohongshu,,,绍兴最全美食地图本地人推荐,,1,,,xhs_static:绍兴最全美食地图本地人推荐,,,,,,
3600,,,,,,,,,,,{'xiaohongshu': 1},,,,,1,,,,,,,,,黄酒博物馆可以品酒，从3年陈到30年陈都有。古越龙山体验馆可以定制花雕酒坛。一定要试试黄酒奶茶和黄酒棒冰，意外好喝！,,,,,,xiaohongshu_static,,,,美食推荐,,,,,,,,food_shop,,xiaohongshu,,,绍兴黄酒体验全攻略,,1,,,xhs_static:绍兴黄酒体验全攻略,,,,,,
8900,,,,,,,,,,,{'xiaohongshu': 1},,,,,1,,,,,,,,,咸亨酒店(1894年)茴香豆配太雕酒绝了。同心楼(百年)生煎包底脆肉鲜。荣禄春(同治年间)小笼包皮薄汤多。丁大兴桂花糕伴手礼首选。,,,,,,xiaohongshu_static,,,,美食推荐,,,,,,,,food_shop,,xiaohongshu,,,绍兴这些老字号你吃过几家,,1,,,xhs_static:绍兴这些老字号你吃过几家,,,,,,
1800,,,,,,,,,,,{'xiaohongshu': 1},,,,,1,,,,,,,,,书圣故里巷子里有好几家宝藏咖啡馆。西小路的柒舍小院既是用餐也是下午茶好去处。仓桥直街的茶馆可以坐一下午。,,,,,,xiaohongshu_static,,,,探店笔记,,,,,,,,food_shop,,xiaohongshu,,,绍兴探店之藏在巷子里的咖啡馆,,1,,,xhs_static:,,,,,,
,串联最地道绍兴美味，少量多餐每样尝一点,,,,,,,咸亨酒店(住宿部),,,,,,,,,1天,,,,,,,,,,,,绍兴美食专线一日游,,,,,,,,景点0069,,,同心楼(生煎)→鲁迅故里(王老汉臭豆腐)→咸亨酒店(午餐)→高老太奶油小攀→寻宝记(晚餐)→绘璟轩(黄酒奶茶),,,,,comprehensive,,,,,2,,,comprehensive:route:food1day,,,,,,
,,2-3小时,,,,,,绍兴鲁迅故里开元曼居,,,{'mafengwo': 1},,,建议上午8:30开门时到达，避开10点后的旅行团高峰,,1,,,,,免费不免票，需凭身份证领票；三味书屋有'早'字课桌可看；百草园免费开放,,,,,,,,,,,,,,,,景点0001,,,鲁迅故里,,mafengwo_static,attraction_review,,mafengwo,,,,,2,,鲁迅祖居→三味书屋→百草园→鲁迅纪念馆→鲁迅笔下风情园,mafengwo_static:luxunguli,,,,春秋（3-5月、9-11月）,,
,,1.5-2小时（不含演出）,,,,,,沈园,,,{'mafengwo': 1},,,建议下午3点后入园，白天赏园+傍晚看《沈园之夜》演出,,1,,,,,夜游演出需另购票；钗头凤碑前可挂同心锁；园内有陆游纪念馆,,,,,,,,,,,,,,,,景点0002,,,沈园,,mafengwo_static,attraction_review,,mafengwo,,,,,2,,断云石→诗境石→孤鹤轩→钗头凤碑→葫芦池→六朝井亭,mafengwo_static:shenyuan,,,,春秋季，4月樱花季最佳,,
